City, X, Y
1, 34, 83
2, 61, 21
3, 77, 16
4, 9, 23
5, 56, 77
6, 89, 52
7, 29, 58
8, 26, 39
9, 75, 44
10, 92, 75
11, 36, 1
12, 79, 36
13, 1, 77
14, 45, 86
15, 57, 30
16, 6, 11
17, 97, 66
18, 44, 66
19, 48, 32
20, 28, 98
21, 76, 88
22, 84, 43
23, 70, 32
24, 7, 26
25, 95, 51
26, 10, 34
27, 78, 28
28, 40, 64
29, 39, 40
30, 10, 31
31, 59, 3
32, 57, 57
33, 100, 64
34, 76, 63
35, 52, 35
36, 80, 68
37, 98, 61
38, 95, 97
39, 33, 60
40, 44, 29
41, 15, 46
42, 94, 70
43, 69, 80
44, 35, 46
45, 14, 74
46, 78, 60
47, 92, 57
48, 20, 91
49, 15, 34
50, 12, 18
